"","time","fragmentation.index"
"1",-1,0.390019097
"2",-2,0.451370613
"3",-3,0.451276905
"4",-4,0.450635508
"5",-5,0.462296319
"6",-6,0.455377551
"7",-7,0.456101011
"8",-8,0.457427958
"9",-9,0.471878061
"10",-10,0.471818565
"11",-11,0.472092834
"12",-12,0.491021922
"13",-13,0.503465119
"14",-14,0.513732777
"15",-15,0.514107911
"16",-16,0.504454352
"17",-17,0.504431354
"18",-18,0.504486085
"19",-19,0.504452044
"20",-20,0.499900375
"21",-21,0.499437412
"22",-22,0.499518212
"23",-23,0.499468683
"24",-24,0.499342603
"25",-25,0.498899203
"26",-26,0.498704412
"27",-27,0.498671438
"28",-28,0.511151784
"29",-29,0.511411975
"30",-30,0.495216833
"31",-31,0.49908992
"32",-32,0.50056441
"33",-33,0.501669088
"34",-34,0.502249921
"35",-35,0.503005105
"36",-36,0.511397517
"37",-37,0.514286919
"38",-38,0.515820595
"39",-39,0.517600388
"40",-40,0.518784635
"41",-41,0.520547858
"42",-42,0.521662459
"43",-43,0.521948138
"44",-44,0.522097081
"45",-45,0.522220792
"46",-46,0.522462222
"47",-47,0.522978858
"48",-48,0.523753689
"49",-49,0.521844409
"50",-50,0.521542365
"51",-51,0.527391223
"52",-52,0.527552801
"53",-53,0.527676321
"54",-54,0.52768445
"55",-55,0.527654922
"56",-56,0.536111742
"57",-57,0.535040363
"58",-58,0.532740141
"59",-59,0.532468583
"60",-60,0.531692225
"61",-61,0.53479689
"62",-62,0.53519875
"63",-63,0.535512164
"64",-64,0.535821435
"65",-65,0.53376153
"66",-66,0.533163123
"67",-67,0.533589932
"68",-68,0.537438526
"69",-69,0.538814495
"70",-70,0.539581963
"71",-71,0.543123084
"72",-72,0.543398635
"73",-73,0.543349118
"74",-74,0.543382893
"75",-75,0.544245874
"76",-76,0.543441653
"77",-77,0.53878069
"78",-78,0.535073748
"79",-79,0.534373582
"80",-80,0.533803129
"81",-81,0.531563144
"82",-82,0.529626462
"83",-83,0.529229458
"84",-84,0.528635507
"85",-85,0.52573418
"86",-86,0.516348709
"87",-87,0.516673003
"88",-88,0.515809698
"89",-89,0.514559122
"90",-90,0.517379917
"91",-91,0.521695946
"92",-92,0.520482294
"93",-93,0.514892456
"94",-94,0.512957032
"95",-95,0.51137412
"96",-96,0.508706724
"97",-97,0.50852325
"98",-98,0.507816863
"99",-99,0.507534766
"100",-100,0.507375269
"101",-101,0.50722461
"102",-102,0.507149371
"103",-103,0.507064931
"104",-104,0.507104446
"105",-105,0.507036838
"106",-106,0.505580138
"107",-107,0.499793016
"108",-108,0.498585868
"109",-109,0.497576577
"110",-110,0.496779453
"111",-111,0.486903642
"112",-112,0.485679678
"113",-113,0.461759614
"114",-114,0.46023643
"115",-115,0.449990884
"116",-116,0.452444471
"117",-117,0.444765012
"118",-118,0.437508142
"119",-119,0.435686482
"120",-120,0.436840605
"121",-121,0.457002974
"122",-122,0.451363839
"123",-123,0.451851659
"124",-124,0.451873317
"125",-125,0.451854357
"126",-126,0.453521917
"127",-127,0.438506176
"128",-128,0.439523824
"129",-129,0.439967133
"130",-130,0.440364274
"131",-131,0.420199518
"132",-132,0.409684229
"133",-133,0.409752889
"134",-134,0.40699834
"135",-135,0.408219561
"136",-136,0.394997976
"137",-137,0.397791301
"138",-138,0.396868939
"139",-139,0.39544581
"140",-140,0.394603246
"141",-141,0.397572394
"142",-142,0.397169107
"143",-143,0.396888667
"144",-144,0.385025964
"145",-145,0.384918544
"146",-146,0.390567083
"147",-147,0.382128879
"148",-148,0.381228038
"149",-149,0.380930104
"150",-150,0.380724673
"151",-151,0.380228646
"152",-152,0.380089064
"153",-153,0.37946688
"154",-154,0.379102488
"155",-155,0.368623258
"156",-156,0.367677472
"157",-157,0.367420113
"158",-158,0.367221755
"159",-159,0.368626886
"160",-160,0.367991487
"161",-161,0.365285496
"162",-162,0.364831842
"163",-163,0.364035221
"164",-164,0.364087192
"165",-165,0.364719487
"166",-166,0.36458252
"167",-167,0.364339083
"168",-168,0.325370866
"169",-169,0.324895513
"170",-170,0.324699843
"171",-171,0.325273753
"172",-172,0.321419973
"173",-173,0.31954972
"174",-174,0.319688074
"175",-175,0.312802378
"176",-176,0.312986948
"177",-177,0.313293931
"178",-178,0.3148821
"179",-179,0.316153026
"180",-180,0.317832826
"181",-181,0.317610584
"182",-182,0.31672822
"183",-183,0.316622831
"184",-184,0.316423553
"185",-185,0.316666936
"186",-186,0.316627636
"187",-187,0.316572006
"188",-188,0.316504003
"189",-189,0.316381967
"190",-190,0.316314636
"191",-191,0.316052718
"192",-192,0.315814697
"193",-193,0.315563055
"194",-194,0.316132171
"195",-195,0.315873324
"196",-196,0.333155366
"197",-197,0.333172978
"198",-198,0.332798915
"199",-199,0.332553334
"200",-200,0.332647266
"201",-201,0.331010949
"202",-202,0.330526514
"203",-203,0.330667738
"204",-204,0.330215853
"205",-205,0.328400115
"206",-206,0.326907179
"207",-207,0.320920414
"208",-208,0.319465117
"209",-209,0.318649592
"210",-210,0.318670523
"211",-211,0.32220427
"212",-212,0.322735632
"213",-213,0.329885318
"214",-214,0.330337669
"215",-215,0.330910118
"216",-216,0.329714832
"217",-217,0.329648595
"218",-218,0.328176714
"219",-219,0.327752789
"220",-220,0.327156978
"221",-221,0.326505829
"222",-222,0.32583617
"223",-223,0.325341847
"224",-224,0.324917612
"225",-225,0.324845916
"226",-226,0.324620739
"227",-227,0.324490696
"228",-228,0.324444048
"229",-229,0.32440493
"230",-230,0.324178003
"231",-231,0.323720558
"232",-232,0.321545797
"233",-233,0.318859922
"234",-234,0.317563638
"235",-235,0.314682779
"236",-236,0.315508498
"237",-237,0.314928703
"238",-238,0.314492154
"239",-239,0.314099987
"240",-240,0.313726375
"241",-241,0.313720032
"242",-242,0.313678779
"243",-243,0.313793623
"244",-244,0.31554136
"245",-245,0.315251991
"246",-246,0.334964673
"247",-247,0.335663526
"248",-248,0.335186856
"249",-249,0.334848637
"250",-250,0.335937236
"251",-251,0.327694794
"252",-252,0.325474957
"253",-253,0.326689806
"254",-254,0.326566238
"255",-255,0.32639975
"256",-256,0.327414442
"257",-257,0.332217446
"258",-258,0.333766757
"259",-259,0.331797986
"260",-260,0.332310561
"261",-261,0.343486929
"262",-262,0.344711088
"263",-263,0.345517368
"264",-264,0.347115211
"265",-265,0.348157117
"266",-266,0.347117285
"267",-267,0.34885025
"268",-268,0.348952491
"269",-269,0.350053648
"270",-270,0.35162668
"271",-271,0.354752948
"272",-272,0.35556515
"273",-273,0.356549941
"274",-274,0.357646049
"275",-275,0.358844399
"276",-276,0.360489848
"277",-277,0.362543608
"278",-278,0.363690446
"279",-279,0.364366801
"280",-280,0.365462836
"281",-281,0.364637398
"282",-282,0.364326601
"283",-283,0.363872054
"284",-284,0.36358511
"285",-285,0.363405847
"286",-286,0.363145796
"287",-287,0.362579051
"288",-288,0.36162074
"289",-289,0.36063529
"290",-290,0.359807719
"291",-291,0.359027307
"292",-292,0.357884108
"293",-293,0.356036547
"294",-294,0.354592529
"295",-295,0.353517346
"296",-296,0.35291411
"297",-297,0.352249371
"298",-298,0.351534489
"299",-299,0.350919106
"300",-300,0.35053135
"301",-301,0.347980553
"302",-302,0.345728759
"303",-303,0.345543921
"304",-304,0.345394519
"305",-305,0.345291473
"306",-306,0.344549942
"307",-307,0.344546494
"308",-308,0.344625347
"309",-309,0.35307005
"310",-310,0.353073937
"311",-311,0.351990234
"312",-312,0.351458014
"313",-313,0.35045298
"314",-314,0.349900849
"315",-315,0.349790512
"316",-316,0.349849607
"317",-317,0.349977409
"318",-318,0.350188996
"319",-319,0.352227647
"320",-320,0.353055654
"321",-321,0.354132681
"322",-322,0.355041172
"323",-323,0.356431439
"324",-324,0.383237458
"325",-325,0.397111554
"326",-326,0.397723087
"327",-327,0.399606125
"328",-328,0.400087944
"329",-329,0.400450442
"330",-330,0.400949852
"331",-331,0.401424502
"332",-332,0.403511611
"333",-333,0.403862767
"334",-334,0.410575832
"335",-335,0.410559808
"336",-336,0.410605486
"337",-337,0.410701361
"338",-338,0.410645003
"339",-339,0.410926069
"340",-340,0.413080077
"341",-341,0.408620071
"342",-342,0.407732603
"343",-343,0.406841229
"344",-344,0.409195009
"345",-345,0.41172568
"346",-346,0.412803463
"347",-347,0.413237277
"348",-348,0.413300951
"349",-349,0.421849045
"350",-350,0.421365398
"351",-351,0.421345233
"352",-352,0.421081045
"353",-353,0.420279481
"354",-354,0.420266538
"355",-355,0.420037642
"356",-356,0.426677063
"357",-357,0.424712679
"358",-358,0.42379556
"359",-359,0.423441342
"360",-360,0.422393241
"361",-361,0.420888456
"362",-362,0.413195317
"363",-363,0.410655307
"364",-364,0.410843146
"365",-365,0.410490769
"366",-366,0.419797831
"367",-367,0.421610918
"368",-368,0.422731883
"369",-369,0.416623063
"370",-370,0.417185933
"371",-371,0.417820606
"372",-372,0.418537729
"373",-373,0.420691519
"374",-374,0.420593147
"375",-375,0.420511233
"376",-376,0.420412152
"377",-377,0.420464957
"378",-378,0.423939153
"379",-379,0.42384367
"380",-380,0.423727462
"381",-381,0.423659911
"382",-382,0.423159498
"383",-383,0.422886603
"384",-384,0.422753585
"385",-385,0.422679154
"386",-386,0.422766282
"387",-387,0.422950843
"388",-388,0.410931574
"389",-389,0.411085098
"390",-390,0.410518476
"391",-391,0.40984207
"392",-392,0.409590435
"393",-393,0.409345142
"394",-394,0.409218686
"395",-395,0.40801275
"396",-396,0.405884427
"397",-397,0.405192971
"398",-398,0.403662436
"399",-399,0.400777556
"400",-400,0.400686218
"401",-401,0.400712959
"402",-402,0.395988852
"403",-403,0.397310783
"404",-404,0.385192074
"405",-405,0.404438158
"406",-406,0.406804893
"407",-407,0.40612551
"408",-408,0.405381107
"409",-409,0.405198818
"410",-410,0.405195388
"411",-411,0.405302399
"412",-412,0.405312624
"413",-413,0.404465186
"414",-414,0.404472231
"415",-415,0.405413086
"416",-416,0.405373389
"417",-417,0.403424555
"418",-418,0.39439348
"419",-419,0.393658152
"420",-420,0.394133999
"421",-421,0.403158837
"422",-422,0.399040458
"423",-423,0.401951635
"424",-424,0.401033813
"425",-425,0.400807565
"426",-426,0.412822911
"427",-427,0.439164644
"428",-428,0.438439217
"429",-429,0.437944951
"430",-430,0.438659767
"431",-431,0.440000416
"432",-432,0.441375715
"433",-433,0.44156743
"434",-434,0.44217902
"435",-435,0.446090421
"436",-436,0.448741251
"437",-437,0.447531161
"438",-438,0.448071067
"439",-439,0.448801465
"440",-440,0.447166315
"441",-441,0.446193626
"442",-442,0.446790362
"443",-443,0.447070979
"444",-444,0.454892653
"445",-445,0.455276032
"446",-446,0.45568017
"447",-447,0.456115903
"448",-448,0.456590347
"449",-449,0.457124499
"450",-450,0.457770952
"451",-451,0.457793478
"452",-452,0.457740525
"453",-453,0.457761634
"454",-454,0.458083463
"455",-455,0.458699872
"456",-456,0.45953534
"457",-457,0.460077071
"458",-458,0.460579817
"459",-459,0.461351013
"460",-460,0.461677861
"461",-461,0.461992206
"462",-462,0.462035333
"463",-463,0.462480983
"464",-464,0.463249674
"465",-465,0.464139966
"466",-466,0.464131713
"467",-467,0.464562097
"468",-468,0.464886665
"469",-469,0.465318081
"470",-470,0.465691354
"471",-471,0.465733876
"472",-472,0.465678058
"473",-473,0.465469517
"474",-474,0.465333515
"475",-475,0.465173781
"476",-476,0.463996788
"477",-477,0.463397374
"478",-478,0.462921321
"479",-479,0.461194171
"480",-480,0.459193765
"481",-481,0.458067231
"482",-482,0.457797967
"483",-483,0.457532673
"484",-484,0.457270472
"485",-485,0.457500382
"486",-486,0.457215304
"487",-487,0.456581589
"488",-488,0.456113101
"489",-489,0.455931621
"490",-490,0.457779955
"491",-491,0.456373764
"492",-492,0.452355706
"493",-493,0.453262966
"494",-494,0.434651149
"495",-495,0.434759757
"496",-496,0.435593388
"497",-497,0.434694183
"498",-498,0.434597469
"499",-499,0.434452692
"500",-500,0.434365329
"501",-501,0.433261304
"502",-502,0.432844091
"503",-503,0.432414876
"504",-504,0.431933468
"505",-505,0.431454649
"506",-506,0.431052566
"507",-507,0.430635451
"508",-508,0.430153801
"509",-509,0.429650931
"510",-510,0.429107351
"511",-511,0.428165419
"512",-512,0.427327106
"513",-513,0.426813616
"514",-514,0.426636538
"515",-515,0.426236731
"516",-516,0.425733342
"517",-517,0.42523455
"518",-518,0.424776122
"519",-519,0.424609192
"520",-520,0.42421583
"521",-521,0.423689261
"522",-522,0.422978783
"523",-523,0.422998982
"524",-524,0.425815119
"525",-525,0.425743084
"526",-526,0.425589645
"527",-527,0.425374449
"528",-528,0.425126969
"529",-529,0.424736236
"530",-530,0.424288937
"531",-531,0.424600254
"532",-532,0.425960508
"533",-533,0.425771443
"534",-534,0.42503647
"535",-535,0.424328584
"536",-536,0.423892753
"537",-537,0.423701746
"538",-538,0.42458619
"539",-539,0.424631748
"540",-540,0.425105082
"541",-541,0.425213867
